type,configuration,n_requetes,pertinents_par_requete,hit@1,hit@3,hit@5,hit@10,mrr,recall@10,diagnostic
TOUS,vectoriel,38,3.289473684210526,0.23684210526315788,0.47368421052631576,0.5263157894736842,0.6052631578947368,0.3695488721804511,0.35219298245614034,classement — un reranker devrait aider
TOUS,bm25,38,3.289473684210526,0.05263157894736842,0.23684210526315788,0.3157894736842105,0.39473684210526316,0.15576441102756894,0.26052631578947366,"representation — elargir n'aidera pas, changer de mecanisme"
TOUS,rrf,38,3.289473684210526,0.13157894736842105,0.4473684210526316,0.6052631578947368,0.8157894736842105,0.3076754385964912,0.4364035087719298,classement — un reranker devrait aider
TOUS,ponderee,38,3.289473684210526,0.05263157894736842,0.3157894736842105,0.47368421052631576,0.6842105263157895,0.2306390977443609,0.43991228070175437,classement — un reranker devrait aider
TOUS,ponderee+quota,38,3.289473684210526,0.05263157894736842,0.47368421052631576,0.5526315789473685,0.7105263157894737,0.26200918964076864,0.46403508771929824,classement — un reranker devrait aider
exact_match,vectoriel,12,3.0,0.0,0.08333333333333333,0.16666666666666666,0.25,0.05634920634920635,0.125,"representation — elargir n'aidera pas, changer de mecanisme"
exact_match,bm25,12,3.0,0.16666666666666666,0.5,0.75,0.8333333333333334,0.3757936507936508,0.6652777777777777,classement — un reranker devrait aider
exact_match,rrf,12,3.0,0.08333333333333333,0.3333333333333333,0.5833333333333334,0.8333333333333334,0.26620370370370366,0.48194444444444445,classement — un reranker devrait aider
exact_match,ponderee,12,3.0,0.08333333333333333,0.5,0.75,0.8333333333333334,0.32023809523809527,0.6652777777777777,classement — un reranker devrait aider
exact_match,ponderee+quota,12,3.0,0.08333333333333333,0.6666666666666666,0.8333333333333334,0.9166666666666666,0.36111111111111116,0.7138888888888889,classement — un reranker devrait aider
semantic,vectoriel,19,3.210526315789474,0.3157894736842105,0.5789473684210527,0.631578947368421,0.7368421052631579,0.47543859649122805,0.46403508771929824,classement — un reranker devrait aider
semantic,bm25,19,3.210526315789474,0.0,0.15789473684210525,0.15789473684210525,0.21052631578947367,0.06666666666666667,0.08771929824561403,"representation — elargir n'aidera pas, changer de mecanisme"
semantic,rrf,19,3.210526315789474,0.15789473684210525,0.5789473684210527,0.5789473684210527,0.7368421052631579,0.32748538011695905,0.39385964912280697,classement — un reranker devrait aider
semantic,ponderee,19,3.210526315789474,0.05263157894736842,0.2631578947368421,0.42105263157894735,0.5789473684210527,0.21234335839599,0.3114035087719298,classement — un reranker devrait aider
semantic,ponderee+quota,19,3.210526315789474,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.5789473684210527,0.20822890559732662,0.32894736842105265,classement — un reranker devrait aider
semantic_ar,vectoriel,7,4.0,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.619047619047619,0.43809523809523804,classement — un reranker devrait aider
semantic_ar,bm25,7,4.0,0.0,0.0,0.0,0.14285714285714285,0.02040816326530612,0.03571428571428571,"representation — elargir n'aidera pas, changer de mecanisme"
semantic_ar,rrf,7,4.0,0.14285714285714285,0.2857142857142857,0.7142857142857143,1.0,0.32500000000000007,0.4738095238095238,classement — un reranker devrait aider
semantic_ar,ponderee,7,4.0,0.0,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.12670068027210885,0.40238095238095234,classement — un reranker devrait aider
semantic_ar,ponderee+quota,7,4.0,0.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.23809523809523808,0.40238095238095234,classement — un reranker devrait aider
