type,configuration,n_requetes,pertinents_par_requete,hit@1,hit@3,hit@5,hit@10,mrr,recall@10,diagnostic
TOUS,vectoriel,38,2.526315789473684,0.3157894736842105,0.5526315789473685,0.631578947368421,0.7631578947368421,0.4616123642439432,0.5394736842105264,classement — un reranker devrait aider
TOUS,bm25,38,2.526315789473684,0.07894736842105263,0.2631578947368421,0.34210526315789475,0.34210526315789475,0.1820175438596491,0.3114035087719298,"representation — elargir n'aidera pas, changer de mecanisme"
TOUS,rrf,38,2.526315789473684,0.3157894736842105,0.5526315789473685,0.6578947368421053,0.8157894736842105,0.44754594820384286,0.6184210526315791,classement — un reranker devrait aider
TOUS,ponderee,38,2.526315789473684,0.15789473684210525,0.3684210526315789,0.4473684210526316,0.7105263157894737,0.306860902255639,0.5833333333333335,classement — un reranker devrait aider
TOUS,ponderee+quota,38,2.526315789473684,0.15789473684210525,0.47368421052631576,0.5789473684210527,0.7368421052631579,0.33064954051796164,0.5877192982456141,classement — un reranker devrait aider
exact_match,vectoriel,12,2.5,0.16666666666666666,0.3333333333333333,0.5,0.75,0.3220899470899471,0.40277777777777773,classement — un reranker devrait aider
exact_match,bm25,12,2.5,0.25,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.4861111111111111,0.8055555555555555,classement — un reranker devrait aider
exact_match,rrf,12,2.5,0.5,0.75,0.75,0.9166666666666666,0.6342592592592593,0.7083333333333334,classement — un reranker devrait aider
exact_match,ponderee,12,2.5,0.4166666666666667,0.75,0.8333333333333334,0.8333333333333334,0.5902777777777778,0.8055555555555555,classement — un reranker devrait aider
exact_match,ponderee+quota,12,2.5,0.4166666666666667,0.75,0.9166666666666666,0.9166666666666666,0.6069444444444444,0.8055555555555555,classement — un reranker devrait aider
semantic,vectoriel,19,2.473684210526316,0.3684210526315789,0.5789473684210527,0.631578947368421,0.7368421052631579,0.4917293233082706,0.5964912280701754,classement — un reranker devrait aider
semantic,bm25,19,2.473684210526316,0.0,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.05701754385964912,0.11403508771929824,"representation — elargir n'aidera pas, changer de mecanisme"
semantic,rrf,19,2.473684210526316,0.2631578947368421,0.5789473684210527,0.5789473684210527,0.7368421052631579,0.39055973266499583,0.5614035087719298,classement — un reranker devrait aider
semantic,ponderee,19,2.473684210526316,0.05263157894736842,0.2631578947368421,0.3684210526315789,0.631578947368421,0.19830827067669174,0.46491228070175433,classement — un reranker devrait aider
semantic,ponderee+quota,19,2.473684210526316,0.05263157894736842,0.21052631578947367,0.2631578947368421,0.5789473684210527,0.17708855472013366,0.45614035087719307,classement — un reranker devrait aider
semantic_ar,vectoriel,7,2.7142857142857144,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.619047619047619,0.619047619047619,classement — un reranker devrait aider
semantic_ar,bm25,7,2.7142857142857144,0.0,0.0,0.0,0.0,0.0,0.0,"representation — elargir n'aidera pas, changer de mecanisme"
semantic_ar,rrf,7,2.7142857142857144,0.14285714285714285,0.14285714285714285,0.7142857142857143,0.8571428571428571,0.28214285714285714,0.619047619047619,classement — un reranker devrait aider
semantic_ar,ponderee,7,2.7142857142857144,0.0,0.0,0.0,0.7142857142857143,0.11564625850340135,0.5238095238095238,classement — un reranker devrait aider
semantic_ar,ponderee+quota,7,2.7142857142857144,0.0,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.2738095238095238,0.5714285714285714,classement — un reranker devrait aider
